"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
162,3.965450,"23356","B5","G6350","S",23356,2.185901,0.434405
163,172.571014,"233HH","B5","G6350","S",,,
164,10.636123,"23359","B5","G6350","S",23359,-1.586164,0.580508
165,2.939964,"23440","B5","G6350","S",,,
166,5.790524,"23357","B5","G6350","S",,,
167,31.121252,"23410","B5","G6350","S",,,
168,5.771395,"23427","B5","G6350","S",,,
169,12.380556,"23337","B5","G6350","S",23337,0.022084,0.580229
170,80.304779,"24318","B5","G6350","S",24318,1.558233,0.813239
171,84.868256,"24314","B5","G6350","S",24314,1.691970,0.484819
172,37.206760,"24366","B5","G6350","S",,,
173,83.506401,"24124","B5","G6350","S",24124,0.530327,0.588227
174,201.738190,"24315","B5","G6350","S",24315,1.056173,0.682670
175,11.995154,"23845","B5","G6350","S",23845,-0.277483,1.261897
176,21.982012,"23893","B5","G6350","S",,,
177,58.515308,"23856","B5","G6350","S",23856,-1.190186,0.934151
178,37.268230,"238HH","B5","G6350","S",,,
179,28.379030,"23919","B5","G6350","S",23919,0.127588,0.604757
180,63.307873,"23950","B5","G6350","S",23950,-0.656649,0.533331
181,124.499054,"23868","B5","G6350","S",23868,-0.589161,0.659036
182,27.874350,"23843","B5","G6350","S",23843,0.643153,0.528130
183,68.573120,"23821","B5","G6350","S",23821,-1.103771,0.524213
184,180.252869,"23824","B5","G6350","S",23824,-0.263537,0.723316
185,31.565569,"23876","B5","G6350","S",,,
186,28.968092,"23889","B5","G6350","S",23889,-0.666421,1.305251
187,18.659714,"23887","B5","G6350","S",,,
188,277.680817,"23847","B5","G6350","S",23847,-0.303317,0.674502
189,18.071459,"23938","B5","G6350","S",,,
190,11.980929,"23857","B5","G6350","S",,,
191,128.566223,"23920","B5","G6350","S",23920,0.280649,0.807222
192,56.503368,"23959","B5","G6350","S",23959,0.149687,1.182882
193,145.785263,"23924","B5","G6350","S",23924,-0.210591,0.724913
194,51.675644,"239HH","B5","G6350","S",,,
195,15.452694,"23962","B5","G6350","S",,,
196,141.848465,"23947","B5","G6350","S",23947,0.196469,0.639686
197,94.820694,"23958","B5","G6350","S",23958,0.943265,0.791390
198,43.290073,"23934","B5","G6350","S",23934,1.177667,0.492353
199,88.967125,"23923","B5","G6350","S",23923,-0.068975,0.598983
200,52.054611,"23964","B5","G6350","S",23964,-1.138148,0.684006
201,4.308312,"23976","B5","G6350","S",,,
202,60.630642,"23967","B5","G6350","S",23967,-0.560607,0.518426
203,75.209145,"23937","B5","G6350","S",23937,0.179052,0.713948
204,249.588776,"24127","B5","G6350","S",24127,0.309783,0.651980
205,83.541138,"24128","B5","G6350","S",24128,0.075685,0.628741
206,35.063244,"24131","B5","G6350","S",,,
