Group.1,ideal_point,ideal_point_se
22311,-0.634003112,0.618714029
22312,0.352938464,0.641243417
22314,-0.474855481,0.636197379
22315,-0.296163518,0.564968335
22401,-0.632620767,0.629045216
22405,0.312706391,0.604972705
22406,0.211155757,0.531084378
22407,0.375810541,0.596368093
22408,0.160798254,0.540350731
22427,1.14367308,0.758108115
22435,-1.092963906,0.527700087
22443,0.947626918,0.575757792
22448,1.587085791,0.599369056
22454,2.245913281,0.366155628
22460,0.148445174,0.552501361
22469,-0.109175233,0.375523444
22473,-1.196557872,0.897878454
22480,0.674929913,0.461985679
22482,-0.493800804,0.606308746
22485,0.319382968,0.642582122
22488,1.833443028,0.598198866
22503,-0.483243074,0.436376222
22504,-0.740191947,1.037105467
22507,0.978605461,0.413392758
22508,0.655938577,0.599891901
22514,0.286127852,0.681570391
22520,0.7120021,0.585832863
22534,-0.148436083,0.817355124
22539,-0.044015485,0.627224237
22542,1.01000436,0.400492595
22546,0.14437184,0.643429245
22551,-0.436813636,0.503598409
22553,0.261902628,0.658894004
22554,0.24929342,0.554705551
22556,0.235222224,0.576253164
22560,-0.399036702,0.495312003
22567,0.239846216,0.570031173
22572,1.084509775,0.673287467
22576,1.851921163,0.42246119
22578,0.359454171,0.626543743
22580,0.954994068,0.48502255
22601,0.108074952,0.653190614
22602,0.443413716,0.615479889
22603,-0.102882704,0.571547776
22610,0.980661251,0.720125443
22611,-0.486628093,0.534739935
22620,0.278023895,0.601278525
22623,1.302262799,0.552974418
22624,-1.499158594,0.835914805
22625,0.14759327,0.552611122
22630,0.039876873,0.609554645
22637,-0.697357274,0.696907797
22642,0.37272658,0.551887671
22644,0.276717725,0.619593888
22645,-0.789129813,0.516941779
22646,0.241698046,0.446389741
22650,0.782628008,0.579619161
22654,0.423486096,0.668802024
22655,0.576351941,0.650826051
22656,0.353760004,0.492528062
22657,-0.108202772,0.548239739
22660,-1.637935734,0.630678719
22663,1.375700387,0.751492458
22664,0.695872926,0.616869149
22701,0.192624371,0.565663409
22709,-1.799082243,0.660974374
22712,-0.106849941,0.739951026
22713,-1.963263885,0.427000434
22715,0.419353823,0.376194067
22720,-0.700656499,0.855486043
22722,-0.596681208,0.707514579
22724,1.827563353,0.48392542
22726,-0.718773859,0.567330432
22727,-0.190472191,0.661386147
22728,0.709102483,0.913766369
22729,2.151596849,0.431735931
22733,-1.344240634,0.575761052
22734,1.082828001,0.482314122
22735,2.182526839,0.456474931
22737,1.022557098,0.658343484
22738,-1.30103792,0.560398251
22740,-0.109469553,0.856777669
22741,-1.112834065,0.70212735
22742,0.076154262,1.053546529
22747,0.599777637,0.585119198
22801,0.003237452,0.630568717
22802,-0.039791112,0.667368821
22807,-0.359898743,0.432311038
22810,1.33005097,0.573247724
22812,-0.245059116,0.76422216
22815,-0.338679625,0.639954432
22821,0.606907459,0.586964403
22824,0.461150954,0.680847183
22827,0.130454768,0.693991141
22830,0.206198061,0.390077526
22832,0.509692851,0.824994956
22834,-1.255680645,0.50673058
22835,-0.393101006,0.581107707
22840,0.944398245,0.621257527
22841,1.372602254,0.961158268
22842,0.500296405,0.686118305
22843,-0.336169741,0.812975395
22844,0.042710962,0.66865253
22846,2.234368791,0.439050545
22849,0.078356007,0.790122404
22850,1.212495784,0.932036809
