SAGDP4N Compensation of employees 1/,,,,,,,,
(Thousands of dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,2003,2004,2005,2006,2007
4000,Arizona,55,"        Funds, trusts, and other financial vehicles",(D),(D),41505,47546,1403
4000,Arizona,56,      Real estate and rental and leasing,1738946,1977670,2334417,2630087,2691024
4000,Arizona,57,        Real estate,1167497,1353725,1627941,1833374,1837766
4000,Arizona,58,        Rental and leasing services and lessors of nonfinancial intangible assets,571449,623945,706476,796713,853258
4000,Arizona,59,    Professional and business services,13637039,15153215,17202912,19625733,21314553
4000,Arizona,60,"      Professional, scientific, and technical services",6215018,6837878,7937562,9179307,9991248
4000,Arizona,61,        Legal services,1135141,1176488,1342469,1450089,1582676
4000,Arizona,62,        Computer systems design and related services,920041,1047140,1341847,1591975,1813322
4000,Arizona,63,"        Miscellaneous professional, scientific, and technical services",4159836,4614250,5253246,6137242,6595250
4000,Arizona,64,      Management of companies and enterprises,1597555,1936079,1827970,2116996,2527236
4000,Arizona,65,      Administrative and support and waste management and remediation services,5824467,6379258,7437380,8329430,8796068
4000,Arizona,66,        Administrative and support services,5654121,6185080,7209596,8069959,8485899
4000,Arizona,67,        Waste management and remediation services,170346,194179,227784,259471,310169
4000,Arizona,68,"    Educational services, health care, and social assistance",10868937,12126028,13238575,14844631,16275855
4000,Arizona,69,      Educational services,1102738,1345863,1482978,1616325,1753780
4000,Arizona,70,      Health care and social assistance,9766199,10780165,11755597,13228307,14522075
4000,Arizona,71,        Ambulatory health care services,5172309,5772569,6369818,7181722,7782683
4000,Arizona,72,        Hospitals,2900136,3245022,3504794,3989465,4482558
4000,Arizona,73,        Nursing and residential care facilities,955418,981451,1061019,1185447,1263766
4000,Arizona,74,        Social assistance,738335,781123,819966,871672,993068
4000,Arizona,75,"    Arts, entertainment, recreation, accommodation, and food services",4890688,5290774,5719798,6259279,6797044
4000,Arizona,76,"      Arts, entertainment, and recreation",1062084,1096128,1139023,1314243,1384621
4000,Arizona,77,"        Performing arts, spectator sports, museums, and related activities",576316,565577,579247,708624,719008
4000,Arizona,78,"        Amusement, gambling, and recreation industries",485768,530551,559776,605619,665613
4000,Arizona,79,      Accommodation and food services,3828604,4194646,4580775,4945036,5412423
4000,Arizona,80,        Accommodation,1130225,1268435,1390925,1439716,1579081
4000,Arizona,81,        Food services and drinking places,2698379,2926211,3189850,3505320,3833342
4000,Arizona,82,    Other services (except government and government enterprises),2739874,2901368,3050187,3391974,3669991
4000,Arizona,83,  Government and government enterprises,20655681,21889953,23385727,25039111,26944886
4000,Arizona,84,    Federal civilian,3456624,3754430,4040205,4191758,4435948
4000,Arizona,85,    Military,1617485,1710527,1857202,1856223,1957256
4000,Arizona,86,    State and local,15581572,16424996,17488320,18991130,20551682
4000,Arizona,,Addenda:,,,,,
4000,Arizona,87,Natural resources and mining,1092957,1208453,1281734,1494434,1735199
4000,Arizona,88,Trade,14059461,15253332,16754498,18352664,19610491
4000,Arizona,89,Transportation and utilities,4254474,4579241,4898461,5435543,5842008
4000,Arizona,90,Private goods-producing industries 2/,19896362,21531921,23639200,26549049,26838514
4000,Arizona,91,Private services-providing industries 3/,62129307,67711685,74752876,83019188,88835624
5000,Arkansas,1,All industry total,43485646,46064219,48480285,51110162,53637638
5000,Arkansas,2,  Private industries,34901283,36898000,38600955,40628697,42789505
5000,Arkansas,3,"    Agriculture, forestry, fishing, and hunting",513411,563999,502906,557243,590293
5000,Arkansas,4,      Farms,288481,310462,258156,256369,292490
5000,Arkansas,5,"      Forestry, fishing, and related activities",224930,253537,244750,300874,297802
