SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
1000,Alabama,2011,        State government,4421083,4473048,4442250,4467671
1000,Alabama,2012,        Local government,7753186,7727563,7777041,7894657
2000,Alaska,50,Wages and salaries by place of work (thousands of dollars),17998133,18772293,19588221,19949098
2000,Alaska,81,  Farm wages and salaries,15278,14554,16453,16434
2000,Alaska,82,  Nonfarm wages and salaries,17982855,18757739,19571768,19932664
2000,Alaska,90,    Private nonfarm wages and salaries,12082065,12665855,13371130,13809441
2000,Alaska,100,"      Forestry, fishing, and related activities",31622,45869,38129,41634
2000,Alaska,101,        Forestry and logging,(D),(D),17782,18410
2000,Alaska,102,"        Fishing, hunting and trapping",11827,24741,16504,18881
2000,Alaska,103,        Support activities for agriculture and forestry,(D),(D),3843,4343
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",1828210,1941630,2126245,2223360
2000,Alaska,201,        Oil and gas extraction,640816,684057,770707,829623
2000,Alaska,202,        Mining (except oil and gas),230518,262249,296970,310821
2000,Alaska,203,        Support activities for mining,956876,995324,1058568,1082916
2000,Alaska,300,      Utilities,161460,171413,181990,188190
2000,Alaska,400,      Construction,1201857,1178064,1242417,1300614
2000,Alaska,401,        Construction of buildings,345983,356160,346319,356595
2000,Alaska,402,        Heavy and civil engineering construction,319136,288136,325343,375541
2000,Alaska,403,        Specialty trade contractors,536738,533768,570755,568478
2000,Alaska,500,      Manufacturing,524870,566290,612431,652566
2000,Alaska,510,        Durable goods manufacturing,96820,95700,123735,131696
2000,Alaska,511,          Wood product manufacturing,(D),(D),(D),(D)
2000,Alaska,512,          Nonmetallic mineral product manufacturing,18416,15765,16814,16696
2000,Alaska,513,          Primary metal manufacturing,1252,1574,1075,828
2000,Alaska,514,          Fabricated metal product manufacturing,21372,27619,33392,37213
2000,Alaska,515,          Machinery manufacturing,4219,4691,5003,4716
2000,Alaska,516,          Computer and electronic product manufacturing,8378,8929,9981,(D)
2000,Alaska,517,"          Electrical equipment, appliance, and component manufacturing",(D),(D),(D),1130
2000,Alaska,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),1571
2000,Alaska,519,          Other transportation equipment manufacturing,20639,(D),(D),(D)
2000,Alaska,521,          Furniture and related product manufacturing,(D),(D),(D),(D)
2000,Alaska,522,          Miscellaneous manufacturing,6921,6372,5958,7152
2000,Alaska,530,        Nondurable goods manufacturing,428050,470590,488696,520870
2000,Alaska,531,          Food manufacturing,353453,391956,407445,436721
2000,Alaska,532,          Beverage and tobacco product manufacturing,7131,7812,9328,10684
2000,Alaska,533,          Textile mills,(D),(D),(D),(D)
2000,Alaska,534,          Textile product mills,2244,2468,2589,2776
2000,Alaska,535,          Apparel manufacturing,146,(D),(D),(D)
2000,Alaska,536,          Leather and allied product manufacturing,(D),(D),165,(D)
2000,Alaska,537,          Paper manufacturing,(D),(D),(D),(D)
2000,Alaska,538,          Printing and related support activities,12681,13160,13618,13643
2000,Alaska,539,          Petroleum and coal products manufacturing,42811,46829,47454,48688
2000,Alaska,541,          Chemical manufacturing,3130,2885,2874,2700
2000,Alaska,542,          Plastics and rubber products manufacturing,(D),(D),(D),(D)
2000,Alaska,600,      Wholesale trade,342464,352124,354165,373323
2000,Alaska,700,      Retail trade,1074804,1102698,1135518,1144087
2000,Alaska,701,        Motor vehicle and parts dealers,173284,181832,196396,202128
2000,Alaska,702,        Furniture and home furnishings stores,28128,29306,30434,31361
2000,Alaska,703,        Electronics and appliance stores,23443,24299,24630,24431
2000,Alaska,704,        Building material and garden equipment and supplies dealers,131842,132650,133161,133060
2000,Alaska,705,        Food and beverage stores,171911,173876,173797,168234
2000,Alaska,706,        Health and personal care stores,36002,39263,41127,43840
2000,Alaska,707,        Gasoline stations,43945,45349,46858,47752
2000,Alaska,708,        Clothing and clothing accessories stores,38963,40055,43641,42139
2000,Alaska,709,"        Sporting goods, hobby, musical instrument, and book stores",39562,41656,40775,43472
2000,Alaska,711,        General merchandise stores,272589,276345,280038,280393
2000,Alaska,712,        Miscellaneous store retailers,59944,63150,63979,64446
2000,Alaska,713,        Nonstore retailers,55191,54917,60682,62831
2000,Alaska,800,      Transportation and warehousing,1154821,1211754,1256303,1262181
2000,Alaska,801,        Air transportation,300858,325748,327452,328295
2000,Alaska,802,        Rail transportation,0,0,0,0
2000,Alaska,803,        Water transportation,69426,74288,89650,92099
2000,Alaska,804,        Truck transportation,165566,169796,168112,176297
2000,Alaska,805,        Transit and ground passenger transportation,39459,42654,46912,46858
2000,Alaska,806,        Pipeline transportation,(D),(D),(D),(D)
2000,Alaska,807,        Scenic and sightseeing transportation,52128,52865,57424,61774
2000,Alaska,808,        Support activities for transportation,132070,130345,131250,128387
2000,Alaska,809,        Couriers and messengers,(D),(D),(D),(D)
2000,Alaska,811,        Warehousing and storage,24271,25534,32489,31683
2000,Alaska,900,      Information,372102,389586,385383,391164
2000,Alaska,901,        Publishing industries (except Internet),33115,33294,29259,27614
2000,Alaska,902,        Motion picture and sound recording industries,6339,6104,5896,6865
2000,Alaska,903,        Broadcasting (except Internet),33619,33841,34387,36316
2000,Alaska,904,        Internet publishing and broadcasting 2/,(NA),(NA),(NA),(NA)
2000,Alaska,905,        Telecommunications,291046,307898,306960,310906
2000,Alaska,906,"        Data processing, hosting, and related services",3255,3352,3491,4259
2000,Alaska,907,        Other information services 2/,4728,5097,5390,5204
2000,Alaska,1000,      Finance and insurance,426271,443493,462821,469595
2000,Alaska,1001,        Monetary Authorities-central bank,0,0,0,0
2000,Alaska,1002,        Credit intermediation and related activities,259193,263073,280294,278491
2000,Alaska,1003,"        Securities, commodity contracts, and other financial investments and related activities",48041,54046,50973,(D)
2000,Alaska,1004,        Insurance carriers and related activities,118371,125712,131153,133359
2000,Alaska,1005,"        Funds, trusts, and other financial vehicles",666,662,401,(D)
2000,Alaska,1100,      Real estate and rental and leasing,207040,204431,207046,210681
2000,Alaska,1101,        Real estate,135416,135098,136067,134614
2000,Alaska,1102,        Rental and leasing services,(D),(D),(D),(D)
2000,Alaska,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),(D),(D),(D),(D)
