"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
251,61.717854,"24053","B5","G6350","S"
252,31.380241,"24352","B5","G6350","S"
253,128.313919,"24343","B5","G6350","S"
254,11.919555,"24351","B5","G6350","S"
255,94.878731,"24121","B5","G6350","S"
256,45.485447,"24571","B5","G6350","S"
257,25.137024,"24095","B5","G6350","S"
258,68.128471,"24551","B5","G6350","S"
259,33.161823,"24174","B5","G6350","S"
260,29.781048,"24064","B5","G6350","S"
261,0.304212,"24448","B5","G6350","S"
262,118.394264,"24153","B5","G6350","S"
263,96.160255,"24090","B5","G6350","S"
264,81.528343,"24175","B5","G6350","S"
265,23.440458,"24019","B5","G6350","S"
266,8.587455,"240HH","B5","G6350","S"
267,9.000511,"24083","B5","G6350","S"
268,76.455734,"24422","B5","G6350","S"
269,178.631012,"24085","B5","G6350","S"
270,19.480400,"24012","B5","G6350","S"
271,1.054188,"24077","B5","G6350","S"
272,150.559814,"24066","B5","G6350","S"
273,37.016106,"241HH","B5","G6350","S"
274,43.590439,"23850","B5","G6350","S"
275,60.093807,"23833","B5","G6350","S"
276,56.205219,"23966","B5","G6350","S"
277,255.888657,"23002","B5","G6350","S"
278,60.700584,"23083","B5","G6350","S"
279,2.356240,"22302","B5","G6350","S"
280,1.247657,"22301","B5","G6350","S"
281,1.534597,"22305","B5","G6350","S"
282,2.245751,"22206","B5","G6350","S"
283,5.052239,"22312","B5","G6350","S"
284,4.047882,"22314","B5","G6350","S"
285,1.454292,"22311","B5","G6350","S"
286,4.499294,"22304","B5","G6350","S"
287,105.375465,"23930","B5","G6350","S"
288,67.772148,"23922","B5","G6350","S"
289,0.003755,"238XX","B5","G6350","S"
290,0.450236,"23304","B5","G6350","S"
291,108.885231,"23430","B5","G6350","S"
292,27.181047,"23315","B5","G6350","S"
293,19.683071,"23314","B5","G6350","S"
294,52.185314,"23898","B5","G6350","S"
295,92.432060,"23487","B5","G6350","S"
296,115.789131,"23851","B5","G6350","S"
297,79.065186,"23866","B5","G6350","S"
298,208.043182,"23093","B5","G6350","S"
299,119.681511,"22942","B5","G6350","S"
300,39.496525,"23084","B5","G6350","S"
301,21.796421,"23065","B5","G6350","S"
302,35.129932,"22974","B5","G6350","S"
303,82.054367,"230HH","B5","G6350","S"
304,50.271835,"231HH","B5","G6350","S"
305,50.248985,"22947","B5","G6350","S"
306,137.550323,"23117","B5","G6350","S"
307,32.142200,"23968","B5","G6350","S"
308,35.712093,"23915","B5","G6350","S"
309,70.370529,"23927","B5","G6350","S"
310,26.790949,"24580","B5","G6350","S"
311,32.451458,"24529","B5","G6350","S"
312,113.335594,"23917","B5","G6350","S"
313,143.896820,"23882","B5","G6350","S"
314,54.401752,"23830","B5","G6350","S"
315,62.676704,"23897","B5","G6350","S"
316,93.333199,"23867","B5","G6350","S"
317,3.233917,"23943","B5","G6350","S"
318,192.498428,"23901","B5","G6350","S"
319,41.548458,"23960","B5","G6350","S"
320,50.422878,"23113","B5","G6350","S"
321,66.112244,"23120","B5","G6350","S"
322,244.595428,"23139","B5","G6350","S"
323,75.925018,"23803","B5","G6350","S"
324,71.443977,"23805","B5","G6350","S"
325,66.922928,"23457","B5","G6350","S"
326,15.207085,"23455","B5","G6350","S"
327,2.148922,"23521","B5","G6350","S"
328,17.578535,"23464","B5","G6350","S"
329,14.828988,"23452","B5","G6350","S"
330,30.834192,"23454","B5","G6350","S"
331,11.890143,"23462","B5","G6350","S"
332,17.021624,"23451","B5","G6350","S"
333,71.261208,"23456","B5","G6350","S"
334,11.392215,"235HH","B5","G6350","S"
335,1.735362,"23461","B5","G6350","S"
336,2.241355,"23459","B5","G6350","S"
337,57.977165,"22407","B5","G6350","S"
338,10.464824,"22401","B5","G6350","S"
339,108.513840,"23837","B5","G6350","S"
340,41.565918,"23844","B5","G6350","S"
341,42.392406,"23874","B5","G6350","S"
342,38.070053,"23828","B5","G6350","S"
343,81.029678,"23829","B5","G6350","S"
344,80.879936,"23888","B5","G6350","S"
345,48.501991,"23827","B5","G6350","S"
346,54.784615,"23878","B5","G6350","S"
347,5.404068,"23665","B5","G6350","S"
348,94.519081,"23188","B5","G6350","S"
349,14.303517,"23691","B5","G6350","S"
350,60.792454,"23185","B5","G6350","S"
351,6.818750,"23696","B5","G6350","S"
352,13.233431,"23693","B5","G6350","S"
353,22.973310,"23692","B5","G6350","S"
354,9.413947,"23690","B5","G6350","S"
355,22.261356,"236HH","B5","G6350","S"
356,35.541027,"24014","B5","G6350","S"
357,4.710330,"24015","B5","G6350","S"
358,8.917892,"24017","B5","G6350","S"
359,3.323936,"24016","B5","G6350","S"
360,2.257503,"24013","B5","G6350","S"
361,38.657684,"24018","B5","G6350","S"
362,0.181827,"24011","B5","G6350","S"
363,80.059525,"24137","B5","G6350","S"
364,80.404243,"24541","B5","G6350","S"
365,36.945377,"24566","B5","G6350","S"
366,58.486004,"24586","B5","G6350","S"
367,71.845421,"24540","B5","G6350","S"
368,52.996330,"24549","B5","G6350","S"
369,34.178989,"24069","B5","G6350","S"
370,69.603500,"24563","B5","G6350","S"
371,197.581848,"24531","B5","G6350","S"
372,35.671547,"24527","B5","G6350","S"
373,22.054939,"24161","B5","G6350","S"
374,120.179367,"24609","B5","G6350","S"
