ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
332,6906,B5,G6350,S
333,069HH,B5,G6350,S
334,6850,B5,G6350,S
335,6812,B5,G6350,S
336,6883,B5,G6350,S
337,6903,B5,G6350,S
338,064HH,B5,G6350,S
339,6615,B5,G6350,S
340,6878,B5,G6350,S
341,6896,B5,G6350,S
342,6831,B5,G6350,S
343,6430,B5,G6350,S
344,6853,B5,G6350,S
345,6608,B5,G6350,S
346,066HH,B5,G6350,S
347,6810,B5,G6350,S
348,6606,B5,G6350,S
349,6851,B5,G6350,S
350,6877,B5,G6350,S
351,6614,B5,G6350,S
352,6604,B5,G6350,S
353,6610,B5,G6350,S
354,6612,B5,G6350,S
355,6870,B5,G6350,S
356,6605,B5,G6350,S
357,6855,B5,G6350,S
358,6811,B5,G6350,S
359,6820,B5,G6350,S
360,6807,B5,G6350,S
361,6470,B5,G6350,S
362,6801,B5,G6350,S
363,6854,B5,G6350,S
364,6840,B5,G6350,S
365,6901,B5,G6350,S
366,6907,B5,G6350,S
367,6607,B5,G6350,S
368,6905,B5,G6350,S
369,6468,B5,G6350,S
370,6611,B5,G6350,S
371,6902,B5,G6350,S
372,6482,B5,G6350,S
373,6490,B5,G6350,S
374,068HH,B5,G6350,S
375,6484,B5,G6350,S
376,6830,B5,G6350,S
377,6897,B5,G6350,S
378,6804,B5,G6350,S
379,6255,B5,G6350,S
380,6256,B5,G6350,S
381,6282,B5,G6350,S
382,6250,B5,G6350,S
383,062HH,B5,G6350,S
384,6234,B5,G6350,S
385,6242,B5,G6350,S
386,6278,B5,G6350,S
387,6377,B5,G6350,S
388,6330,B5,G6350,S
389,6235,B5,G6350,S
390,6280,B5,G6350,S
391,6259,B5,G6350,S
392,6354,B5,G6350,S
393,6266,B5,G6350,S
394,6264,B5,G6350,S
395,6226,B5,G6350,S
396,6241,B5,G6350,S
397,6247,B5,G6350,S
398,6373,B5,G6350,S
399,6331,B5,G6350,S
400,6262,B5,G6350,S
401,6239,B5,G6350,S
402,6277,B5,G6350,S
403,6281,B5,G6350,S
404,6260,B5,G6350,S
405,6374,B5,G6350,S
406,6384,B5,G6350,S
407,6043,B5,G6350,S
408,6237,B5,G6350,S
409,6248,B5,G6350,S
410,6232,B5,G6350,S
411,6269,B5,G6350,S
412,6071,B5,G6350,S
413,6029,B5,G6350,S
414,6084,B5,G6350,S
415,6231,B5,G6350,S
416,6076,B5,G6350,S
417,6066,B5,G6350,S
418,6268,B5,G6350,S
419,6279,B5,G6350,S
420,6238,B5,G6350,S
421,6475,B5,G6350,S
422,6457,B5,G6350,S
423,6417,B5,G6350,S
424,6442,B5,G6350,S
425,6426,B5,G6350,S
426,6438,B5,G6350,S
427,6419,B5,G6350,S
428,6424,B5,G6350,S
429,6469,B5,G6350,S
430,6416,B5,G6350,S
431,6481,B5,G6350,S
432,6498,B5,G6350,S
433,6455,B5,G6350,S
434,6413,B5,G6350,S
435,6422,B5,G6350,S
436,6415,B5,G6350,S
437,6423,B5,G6350,S
438,6409,B5,G6350,S
439,6412,B5,G6350,S
440,6480,B5,G6350,S
441,6441,B5,G6350,S
442,6401,B5,G6350,S
443,6443,B5,G6350,S
444,6716,B5,G6350,S
445,6477,B5,G6350,S
446,6705,B5,G6350,S
447,6708,B5,G6350,S
448,6514,B5,G6350,S
449,6512,B5,G6350,S
450,6418,B5,G6350,S
451,6473,B5,G6350,S
452,6513,B5,G6350,S
453,6410,B5,G6350,S
454,6516,B5,G6350,S
455,6762,B5,G6350,S
456,6510,B5,G6350,S
457,6704,B5,G6350,S
458,6405,B5,G6350,S
459,6525,B5,G6350,S
460,6483,B5,G6350,S
461,6519,B5,G6350,S
462,6518,B5,G6350,S
463,6478,B5,G6350,S
464,6511,B5,G6350,S
465,6450,B5,G6350,S
466,6472,B5,G6350,S
467,6471,B5,G6350,S
468,6492,B5,G6350,S
469,065HH,B5,G6350,S
470,6770,B5,G6350,S
471,6702,B5,G6350,S
472,6517,B5,G6350,S
473,6451,B5,G6350,S
474,6403,B5,G6350,S
475,6712,B5,G6350,S
476,6706,B5,G6350,S
477,6710,B5,G6350,S
478,6488,B5,G6350,S
479,6460,B5,G6350,S
480,6515,B5,G6350,S
481,6524,B5,G6350,S
482,6504,B5,G6350,S
483,6437,B5,G6350,S
484,6334,B5,G6350,S
485,6254,B5,G6350,S
486,6370,B5,G6350,S
487,6382,B5,G6350,S
488,6385,B5,G6350,S
489,6420,B5,G6350,S
490,6339,B5,G6350,S
491,6340,B5,G6350,S
492,6333,B5,G6350,S
493,6379,B5,G6350,S
494,6375,B5,G6350,S
495,6371,B5,G6350,S
496,6249,B5,G6350,S
497,6335,B5,G6350,S
498,6359,B5,G6350,S
499,6365,B5,G6350,S
500,6380,B5,G6350,S
501,6378,B5,G6350,S
502,6357,B5,G6350,S
503,6320,B5,G6350,S
504,6355,B5,G6350,S
505,6360,B5,G6350,S
506,6376,B5,G6350,S
507,6351,B5,G6350,S
508,063HH,B5,G6350,S
509,6336,B5,G6350,S
510,42528,B5,G6350,S
511,42741,B5,G6350,S
512,42742,B5,G6350,S
513,42728,B5,G6350,S
514,42761,B5,G6350,S
515,42743,B5,G6350,S
516,42715,B5,G6350,S
517,42733,B5,G6350,S
518,42642,B5,G6350,S
519,42753,B5,G6350,S
520,42129,B5,G6350,S
521,42120,B5,G6350,S
522,42134,B5,G6350,S
523,42164,B5,G6350,S
524,42122,B5,G6350,S
525,421HH,B5,G6350,S
526,42153,B5,G6350,S
527,42133,B5,G6350,S
528,420HH,B5,G6350,S
529,420XX,B5,G6350,S
530,42056,B5,G6350,S
531,42060,B5,G6350,S
532,42024,B5,G6350,S
533,42022,B5,G6350,S
534,42053,B5,G6350,S
535,42087,B5,G6350,S
536,40342,B5,G6350,S
537,40046,B5,G6350,S
538,403HH,B5,G6350,S
539,40372,B5,G6350,S
540,40076,B5,G6350,S
541,40115,B5,G6350,S
542,40145,B5,G6350,S
543,40144,B5,G6350,S
544,40171,B5,G6350,S
545,40146,B5,G6350,S
546,40152,B5,G6350,S
547,40111,B5,G6350,S
548,40119,B5,G6350,S
549,40176,B5,G6350,S
550,427HH,B5,G6350,S
551,401HH,B5,G6350,S
552,40178,B5,G6350,S
553,40143,B5,G6350,S
554,40170,B5,G6350,S
555,40164,B5,G6350,S
556,40140,B5,G6350,S
557,40142,B5,G6350,S
558,42754,B5,G6350,S
559,40157,B5,G6350,S
560,40516,B5,G6350,S
561,40348,B5,G6350,S
562,40324,B5,G6350,S
563,40511,B5,G6350,S
564,40311,B5,G6350,S
565,40361,B5,G6350,S
566,40489,B5,G6350,S
567,42565,B5,G6350,S
568,40437,B5,G6350,S
569,40009,B5,G6350,S
570,42539,B5,G6350,S
571,42516,B5,G6350,S
572,40442,B5,G6350,S
573,42541,B5,G6350,S
574,42566,B5,G6350,S
575,41042,B5,G6350,S
576,41080,B5,G6350,S
577,410HH,B5,G6350,S
578,41018,B5,G6350,S
579,41048,B5,G6350,S
580,41051,B5,G6350,S
581,41005,B5,G6350,S
582,41094,B5,G6350,S
583,41030,B5,G6350,S
584,41091,B5,G6350,S
585,41092,B5,G6350,S
586,40813,B5,G6350,S
587,40856,B5,G6350,S
588,40913,B5,G6350,S
589,40977,B5,G6350,S
590,40988,B5,G6350,S
591,40958,B5,G6350,S
592,40965,B5,G6350,S
593,40902,B5,G6350,S
594,40845,B5,G6350,S
595,40940,B5,G6350,S
596,409HH,B5,G6350,S
597,42160,B5,G6350,S
598,42141,B5,G6350,S
599,42154,B5,G6350,S
600,42127,B5,G6350,S
601,42131,B5,G6350,S
602,42166,B5,G6350,S
603,42171,B5,G6350,S
604,42123,B5,G6350,S
605,42749,B5,G6350,S
606,41002,B5,G6350,S
607,41043,B5,G6350,S
608,41004,B5,G6350,S
609,41044,B5,G6350,S
610,41317,B5,G6350,S
611,41314,B5,G6350,S
612,41377,B5,G6350,S
613,41385,B5,G6350,S
614,41348,B5,G6350,S
615,41301,B5,G6350,S
616,41339,B5,G6350,S
617,41310,B5,G6350,S
618,41390,B5,G6350,S
619,42215,B5,G6350,S
620,42232,B5,G6350,S
621,42262,B5,G6350,S
622,42464,B5,G6350,S
623,42266,B5,G6350,S
624,42217,B5,G6350,S
625,42236,B5,G6350,S
626,42223,B5,G6350,S
627,42442,B5,G6350,S
628,42240,B5,G6350,S
629,42220,B5,G6350,S
630,42286,B5,G6350,S
631,42254,B5,G6350,S
632,40509,B5,G6350,S
633,40391,B5,G6350,S
634,40515,B5,G6350,S
635,42020,B5,G6350,S
636,42048,B5,G6350,S
637,42036,B5,G6350,S
638,42040,B5,G6350,S
639,42071,B5,G6350,S
640,42054,B5,G6350,S
641,42025,B5,G6350,S
642,42076,B5,G6350,S
643,42049,B5,G6350,S
644,40346,B5,G6350,S
645,40358,B5,G6350,S
646,40371,B5,G6350,S
647,40374,B5,G6350,S
648,40360,B5,G6350,S
649,40334,B5,G6350,S
650,40353,B5,G6350,S
651,42273,B5,G6350,S
652,42261,B5,G6350,S
653,42721,B5,G6350,S
654,423HH,B5,G6350,S
655,422HH,B5,G6350,S
656,42275,B5,G6350,S
657,42287,B5,G6350,S
658,42101,B5,G6350,S
659,42320,B5,G6350,S
660,42339,B5,G6350,S
661,42256,B5,G6350,S
662,42333,B5,G6350,S
663,42276,B5,G6350,S
664,42411,B5,G6350,S
665,424HH,B5,G6350,S
666,42064,B5,G6350,S
667,42445,B5,G6350,S
668,42211,B5,G6350,S
669,42408,B5,G6350,S
670,42069,B5,G6350,S
671,42021,B5,G6350,S
672,42035,B5,G6350,S
673,42039,B5,G6350,S
674,42023,B5,G6350,S
675,426HH,B5,G6350,S
676,42602,B5,G6350,S
677,42717,B5,G6350,S
678,42603,B5,G6350,S
679,41001,B5,G6350,S
680,41007,B5,G6350,S
681,41085,B5,G6350,S
682,41075,B5,G6350,S
683,41071,B5,G6350,S
684,41074,B5,G6350,S
685,41073,B5,G6350,S
686,41059,B5,G6350,S
687,41076,B5,G6350,S
688,41006,B5,G6350,S
689,40328,B5,G6350,S
690,41045,B5,G6350,S
691,40011,B5,G6350,S
692,40045,B5,G6350,S
693,41098,B5,G6350,S
694,40006,B5,G6350,S
695,41083,B5,G6350,S
696,41008,B5,G6350,S
697,404HH,B5,G6350,S
698,40422,B5,G6350,S
699,40440,B5,G6350,S
700,40468,B5,G6350,S
701,40464,B5,G6350,S
702,40874,B5,G6350,S
703,40744,B5,G6350,S
704,40972,B5,G6350,S
705,40741,B5,G6350,S
706,40486,B5,G6350,S
707,40914,B5,G6350,S
708,40941,B5,G6350,S
709,40983,B5,G6350,S
710,40962,B5,G6350,S
711,40999,B5,G6350,S
712,41142,B5,G6350,S
713,41146,B5,G6350,S
714,41180,B5,G6350,S
715,40351,B5,G6350,S
716,41143,B5,G6350,S
717,41164,B5,G6350,S
718,41132,B5,G6350,S
719,40177,B5,G6350,S
720,40165,B5,G6350,S
721,401XX,B5,G6350,S
722,40013,B5,G6350,S
723,40299,B5,G6350,S
724,40047,B5,G6350,S
725,40229,B5,G6350,S
726,40150,B5,G6350,S
727,40272,B5,G6350,S
728,40071,B5,G6350,S
729,40109,B5,G6350,S
730,41101,B5,G6350,S
731,41168,B5,G6350,S
732,41102,B5,G6350,S
733,41129,B5,G6350,S
734,411HH,B5,G6350,S
735,42713,B5,G6350,S
736,42765,B5,G6350,S
737,42722,B5,G6350,S
738,42776,B5,G6350,S
739,42788,B5,G6350,S
740,42701,B5,G6350,S
741,40175,B5,G6350,S
742,40121,B5,G6350,S
743,40051,B5,G6350,S
744,40160,B5,G6350,S
745,42732,B5,G6350,S
746,42740,B5,G6350,S
747,40162,B5,G6350,S
748,42724,B5,G6350,S
749,42784,B5,G6350,S
750,42343,B5,G6350,S
751,42368,B5,G6350,S
752,41642,B5,G6350,S
753,41667,B5,G6350,S
754,41640,B5,G6350,S
755,41605,B5,G6350,S
756,41606,B5,G6350,S
757,41631,B5,G6350,S
758,416HH,B5,G6350,S
759,41607,B5,G6350,S
760,41604,B5,G6350,S
761,41649,B5,G6350,S
762,41621,B5,G6350,S
763,41630,B5,G6350,S
764,41659,B5,G6350,S
765,41655,B5,G6350,S
766,41653,B5,G6350,S
