,median,lower,upper,sd,year,abb
128,-0.023265114,-0.456742782,0.346612468,0.2405029,1937,ND
129,-0.312596486,-0.676950954,0.0687407,0.229242812,1937,NE
130,0.015880768,-0.396845699,0.400490129,0.241472257,1937,NH
131,0.807112865,0.433348349,1.140396115,0.217993994,1937,NJ
132,-0.355336439,-0.779493109,0.097723637,0.260798016,1937,NM
133,-0.130099415,-0.515852273,0.258168577,0.244008675,1937,NV
134,1.31841803,0.935473122,1.655704029,0.215885443,1937,NY
135,0.672498449,0.276785185,1.027616431,0.238728891,1937,OH
136,-0.569074362,-1.047069072,-0.11442204,0.273733884,1937,OK
137,0.191267327,-0.17524068,0.571986679,0.229186687,1937,OR
138,1.014125748,0.676151336,1.336599325,0.212523099,1937,PA
139,0.83715281,0.436741754,1.239028171,0.246360128,1937,RI
140,-0.559329257,-1.017353502,-0.129415941,0.27689624,1937,SC
141,-0.47155741,-0.874299491,-0.065064536,0.251785724,1937,SD
142,-0.934947406,-1.429812904,-0.425798752,0.302814706,1937,TN
143,-1.029230356,-1.450201724,-0.50772107,0.295048152,1937,TX
144,0.589091565,0.22058763,0.952146777,0.217872656,1937,UT
145,-1.235778505,-1.677184589,-0.758317228,0.28196276,1937,VA
146,-0.389108686,-0.859231581,0.012202837,0.251809175,1937,VT
147,0.623337287,0.253750952,1.028246211,0.231695515,1937,WA
148,0.903808342,0.543908987,1.266061961,0.218108958,1937,WI
149,-0.604887779,-1.062855945,-0.175241797,0.276884932,1937,WV
150,-0.600424059,-1.111089784,-0.189365429,0.285773225,1937,WY
151,NA,NA,NA,NA,1938,AK
152,-0.985093324,-1.424854424,-0.464311082,0.296419484,1938,AL
153,-1.859021094,-2.318256529,-1.572619898,0.229324117,1938,AR
154,-0.131081855,-0.54098474,0.240771607,0.239033695,1938,AZ
155,1.041868153,0.679233915,1.428720034,0.213628191,1938,CA
156,0.669989141,0.273683135,1.046476574,0.216920654,1938,CO
157,0.448180372,0.067600963,0.820815187,0.230510643,1938,CT
158,-0.852337613,-1.345783098,-0.35981624,0.295003923,1938,DE
159,-1.21041514,-1.619538213,-0.732471352,0.275533329,1938,FL
160,-1.130466231,-1.574697354,-0.609278773,0.295548363,1938,GA
161,NA,NA,NA,NA,1938,HI
162,0.044366778,-0.343907454,0.425412159,0.235324297,1938,IA
163,-0.167794069,-0.56016372,0.233368759,0.249466206,1938,ID
164,0.752140059,0.418405135,1.100757205,0.21358902,1938,IL
165,-0.10798459,-0.473245686,0.244542244,0.224319386,1938,IN
166,0.007308039,-0.362604222,0.3652093,0.231468441,1938,KS
167,-0.475004864,-0.943216229,-0.049008601,0.270790503,1938,KY
168,-0.542838571,-1.026270432,-0.077845687,0.286966477,1938,LA
169,1.102064764,0.737026437,1.478470452,0.222661793,1938,MA
170,-0.289451522,-0.713332038,0.106162693,0.251305499,1938,MD
171,0.248549491,-0.126265785,0.662327784,0.234222092,1938,ME
172,0.691706873,0.34451193,1.035881193,0.221199819,1938,MI
173,0.571014619,0.211089161,0.909173044,0.214972166,1938,MN
174,-0.63011048,-1.138240954,-0.215417015,0.288284707,1938,MO
175,-2.007070865,-2.565823471,-1.615554497,0.289681837,1938,MS
176,0.047984543,-0.32782539,0.413317996,0.223716875,1938,MT
177,-0.923511174,-1.429213883,-0.454158917,0.298745886,1938,NC
178,-0.095844885,-0.53807431,0.326316134,0.260172241,1938,ND
179,-0.220838357,-0.586159483,0.159242204,0.233020098,1938,NE
180,0.017465796,-0.358569699,0.44875944,0.251982559,1938,NH
181,0.815158239,0.454888158,1.252482995,0.240434702,1938,NJ
182,-0.450304966,-0.91121578,-0.07185276,0.25082469,1938,NM
183,-0.131896182,-0.534681898,0.253908386,0.24016765,1938,NV
184,1.340230346,0.98662356,1.638522344,0.205117687,1938,NY
185,0.651935262,0.23013509,1.036175191,0.243100945,1938,OH
186,-0.566358389,-1.01903875,-0.138062605,0.273485036,1938,OK
187,0.176667149,-0.259454463,0.547587927,0.250467581,1938,OR
188,0.980155859,0.590334514,1.354736486,0.228845919,1938,PA
189,0.781522642,0.357184408,1.148702496,0.234928553,1938,RI
190,-0.823924978,-1.318683404,-0.349270527,0.298532707,1938,SC
191,-0.373431226,-0.790934689,0.003249546,0.248764396,1938,SD
192,-0.957067005,-1.429896165,-0.464876725,0.297024845,1938,TN
193,-1.07840653,-1.570094468,-0.571621787,0.303155173,1938,TX
194,0.507304874,0.164536303,0.859867498,0.219907173,1938,UT
195,-1.180773445,-1.609541447,-0.670318093,0.281849085,1938,VA
196,-0.34958665,-0.749608852,0.048143309,0.247249532,1938,VT
197,0.556901537,0.139742626,0.930541571,0.236366966,1938,WA
198,0.858462671,0.503869857,1.242451807,0.225123766,1938,WI
199,-0.636242766,-1.18055708,-0.18607494,0.303741271,1938,WV
200,-0.608012556,-1.094082897,-0.151002323,0.281158559,1938,WY
201,NA,NA,NA,NA,1939,AK
202,-0.806034929,-1.280844686,-0.322146353,0.283014641,1939,AL
203,-1.307009876,-1.690027416,-0.886439066,0.256521797,1939,AR
204,-0.183040498,-0.568258623,0.184005032,0.246871752,1939,AZ
205,1.069249096,0.741094486,1.410785296,0.210575643,1939,CA
206,0.621019999,0.272856467,0.948604931,0.20936306,1939,CO
207,0.696155841,0.351292167,1.064139266,0.216930734,1939,CT
208,-0.858553414,-1.344361313,-0.374554178,0.294844104,1939,DE
209,-1.182117725,-1.609930595,-0.741371938,0.276676387,1939,FL
210,-1.123145388,-1.551737303,-0.606088958,0.296335367,1939,GA
211,NA,NA,NA,NA,1939,HI
212,0.103488387,-0.302420197,0.470466462,0.230827202,1939,IA
213,-0.193893036,-0.618306009,0.207440124,0.251198927,1939,ID
214,0.797932695,0.485511817,1.15428369,0.205353584,1939,IL
215,-0.082010369,-0.508015323,0.309773392,0.245443206,1939,IN
216,-0.036676815,-0.385754509,0.352829537,0.227771354,1939,KS
217,-0.515413375,-0.978923477,-0.046602485,0.272801684,1939,KY
218,-0.539962524,-1.095497969,-0.094313675,0.29634569,1939,LA
219,1.116757237,0.781757333,1.469246845,0.212602008,1939,MA
220,-0.276285328,-0.718857569,0.124087812,0.26305692,1939,MD
221,0.300855311,-0.106316061,0.685475625,0.240796626,1939,ME
222,0.810404045,0.483816422,1.161780896,0.210695907,1939,MI
223,0.562261572,0.201098011,0.921559984,0.224157351,1939,MN
224,-0.816375387,-1.278773921,-0.341946999,0.292706675,1939,MO
225,-1.953667049,-2.507331028,-1.616841151,0.267224992,1939,MS
226,0.026548681,-0.383525315,0.390845631,0.238268722,1939,MT
227,-0.800053807,-1.304313742,-0.314222816,0.302857328,1939,NC
228,-0.076306729,-0.47550876,0.287122555,0.237668634,1939,ND
229,-0.27351427,-0.655728548,0.126765685,0.245995106,1939,NE
230,0.022025932,-0.337120922,0.419455879,0.232168014,1939,NH
231,0.796376213,0.438790113,1.174135712,0.220540162,1939,NJ
232,-0.243246903,-0.68231972,0.110480266,0.238169412,1939,NM
233,-0.139290873,-0.548458465,0.262942721,0.25586424,1939,NV
234,1.589085356,1.286286263,1.932970003,0.205373129,1939,NY
235,0.589009108,0.227527092,0.982122969,0.226351793,1939,OH
236,-0.614253888,-1.016766647,-0.187380784,0.259166138,1939,OK
237,0.396368946,0.010524748,0.757567342,0.222705925,1939,OR
238,0.860129683,0.48892729,1.196182418,0.22364832,1939,PA
239,0.818564952,0.47735195,1.195048563,0.21645871,1939,RI
240,-0.93991808,-1.420456796,-0.440891943,0.291677139,1939,SC
241,-0.430510703,-0.871227801,-0.055174492,0.245429594,1939,SD
242,-0.969049765,-1.463309875,-0.482347218,0.298188853,1939,TN
243,-1.206211189,-1.631555142,-0.739801946,0.27786329,1939,TX
244,0.565598077,0.223493787,0.914953896,0.220622949,1939,UT
245,-1.138958476,-1.662219455,-0.656111661,0.299694734,1939,VA
246,-0.246179069,-0.658400341,0.134949807,0.235730148,1939,VT
247,0.549211108,0.145655421,0.969578338,0.240904916,1939,WA
248,0.803075244,0.421974448,1.187729284,0.223269926,1939,WI
249,-0.512012627,-0.955438717,-0.017298662,0.277929365,1939,WV
250,-0.613561281,-1.12473074,-0.146589186,0.293098257,1939,WY
251,NA,NA,NA,NA,1940,AK
252,-0.855588119,-1.380045896,-0.364663568,0.306409006,1940,AL
253,-1.17402498,-1.622252853,-0.71297068,0.281106569,1940,AR
254,-0.113582186,-0.488130153,0.295926389,0.243855609,1940,AZ
255,1.111885627,0.739543906,1.419092613,0.217015032,1940,CA
256,0.594616078,0.259325482,0.950367687,0.216554132,1940,CO
257,0.686925927,0.286874008,1.072130993,0.236445278,1940,CT
258,-0.841340344,-1.322546938,-0.33582509,0.299110457,1940,DE
259,-1.103601447,-1.524519971,-0.630232851,0.271467682,1940,FL
260,-1.059977471,-1.502936554,-0.566300483,0.29503445,1940,GA
261,NA,NA,NA,NA,1940,HI
262,-0.004887897,-0.399424332,0.352203923,0.223207367,1940,IA
263,-0.138903574,-0.528771541,0.234338016,0.238519542,1940,ID
264,0.829485791,0.486742138,1.196278477,0.217426917,1940,IL
265,-0.067543128,-0.501644613,0.30836592,0.237875834,1940,IN
266,-0.001673081,-0.3606771,0.332767115,0.21059527,1940,KS
267,-0.407843928,-0.828339548,-0.011840602,0.251021464,1940,KY
268,-0.360024823,-0.814812348,0.020188129,0.257895949,1940,LA
269,1.057054575,0.656790328,1.441479482,0.225675551,1940,MA
270,-0.281720222,-0.731200872,0.101188819,0.249425302,1940,MD
271,0.275189287,-0.143903732,0.655860071,0.23981602,1940,ME
272,0.830575939,0.462743943,1.191196936,0.216636787,1940,MI
273,0.49529367,0.123673996,0.887666722,0.234050046,1940,MN
274,-0.697434901,-1.224067406,-0.241402417,0.304626415,1940,MO
275,-1.976436058,-2.512122502,-1.621775508,0.266533147,1940,MS
276,0.117607389,-0.27631946,0.483962845,0.226086551,1940,MT
277,-0.821535107,-1.365901101,-0.371632896,0.291906804,1940,NC
278,-0.123387656,-0.498236467,0.311765034,0.244306476,1940,ND
279,-0.161842029,-0.523511445,0.232702815,0.228209424,1940,NE
280,-0.035872472,-0.450824664,0.371190384,0.249114294,1940,NH
281,0.81852313,0.442324464,1.165677235,0.218697574,1940,NJ
282,-0.183421563,-0.584960986,0.258302384,0.254238797,1940,NM
283,-0.188987228,-0.627964884,0.18987792,0.247041548,1940,NV
284,1.538810499,1.178170522,1.910262488,0.218916422,1940,NY
285,0.538567513,0.141983031,0.901396135,0.232252235,1940,OH
286,-0.623851007,-1.07551544,-0.182926531,0.282206777,1940,OK
287,0.133180537,-0.246393988,0.523727023,0.236700565,1940,OR
288,0.877575466,0.514536889,1.219369188,0.215733728,1940,PA
289,0.793785646,0.43949825,1.14534872,0.221113108,1940,RI
290,-0.922771721,-1.447535948,-0.452508478,0.309174643,1940,SC
291,-0.383825602,-0.813628615,0.039266282,0.251477358,1940,SD
292,-1.035127519,-1.472283684,-0.524156635,0.288622963,1940,TN
293,-1.154750757,-1.579622819,-0.666088544,0.289877863,1940,TX
294,0.460784211,0.068816375,0.822696299,0.226585194,1940,UT
295,-1.125028352,-1.54912002,-0.586908197,0.295449197,1940,VA
296,-0.297173813,-0.678028511,0.097124231,0.24663006,1940,VT
297,0.548857352,0.175283433,0.945948127,0.237277204,1940,WA
298,0.746098388,0.375460087,1.103856772,0.219736647,1940,WI
299,-0.47355758,-0.922844176,-0.023595536,0.28137563,1940,WV
300,-0.614498955,-1.09211096,-0.209735835,0.280418305,1940,WY
301,NA,NA,NA,NA,1941,AK
302,-0.775431413,-1.272749356,-0.35602651,0.279420101,1941,AL
303,-1.140765715,-1.563169174,-0.60066152,0.289439184,1941,AR
304,-0.053730182,-0.459685827,0.341143138,0.249233114,1941,AZ
305,0.943331112,0.611220277,1.278367495,0.205752464,1941,CA
306,0.733597427,0.385706328,1.101238347,0.214914507,1941,CO
307,0.593766273,0.223433815,0.978010826,0.232251778,1941,CT
308,-1.002381246,-1.476064473,-0.496586002,0.299161239,1941,DE
309,-1.209436191,-1.587046858,-0.706648511,0.281870557,1941,FL
310,-1.083843218,-1.497171729,-0.552267213,0.296494699,1941,GA
311,NA,NA,NA,NA,1941,HI
312,0.021245029,-0.385815799,0.418189765,0.240335294,1941,IA
313,-0.193710206,-0.614776761,0.212709724,0.257691472,1941,ID
314,0.791122015,0.469363414,1.129421871,0.203507263,1941,IL
315,-0.043066015,-0.428434514,0.294372781,0.222638381,1941,IN
316,0.05345807,-0.31866198,0.404469635,0.226063389,1941,KS
317,-0.395568177,-0.777645868,0.016331257,0.25409257,1941,KY
318,-0.403314039,-0.857244128,0.000845025,0.264280637,1941,LA
319,0.970493168,0.565779536,1.285664365,0.214278948,1941,MA
320,-0.122276062,-0.560169826,0.22939254,0.242318803,1941,MD
321,0.181182938,-0.203760149,0.600711436,0.248184938,1941,ME
322,0.813141244,0.470550262,1.133748178,0.20107608,1941,MI
323,0.529081005,0.188566,0.927498983,0.219227908,1941,MN
