room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
17588156,9419684,Entire home/apt,Foggy Bottom,0,0,3,1,228,NA,38.899954,-77.050002
17588463,119282078,Entire home/apt,Chevy Chase,1,0,2,1,75,NA,38.952089,-77.069564
17589398,26389480,Shared room,Columbia Heights,0,0,1,1,34,NA,38.92685,-77.02872
17591077,44251938,Entire home/apt,Columbia Heights,0,0,3,1,65,NA,38.933348,-77.035232
17592316,116893075,Private room,U Street Corridor,0,0,2,1,125,NA,38.916474,-77.026982
17593445,11626707,Entire home/apt,Georgetown,2,0,4,2,175,NA,38.911429,-77.066486
17601148,119615821,Private room,Catholic University-Brookland,0,0,2,1,90,NA,38.949884,-77.019324
17601711,13177388,Entire home/apt,Columbia Heights,0,0,4,1,75,NA,38.936158,-77.032882
17602379,113788538,Entire home/apt,Adams Morgan,0,0,2,0,70,NA,38.921943,-77.037275
17604416,119643468,Private room,Adams Morgan,0,0,1,1,55,NA,38.922521,-77.04448
17606675,4263405,Private room,Columbia Heights,0,0,1,1,60,NA,38.926669,-77.030532
17609853,119043344,Entire home/apt,Foggy Bottom,0,0,3,1,153,NA,38.901841,-77.054674
17610056,16327514,Entire home/apt,Catholic University-Brookland,0,0,5,2,90,NA,38.942161,-77.017853
17620157,26389480,Private room,Columbia Heights,0,0,2,1,79,NA,38.926631,-77.029778
17620454,58202579,Entire home/apt,Dupont Circle,0,0,8,3,139,NA,38.909128,-77.039153
17622286,35950735,Private room,Catholic University-Brookland,0,0,1,0,45,NA,38.930635,-76.992215
17624517,118256204,Entire home/apt,Glover Park,0,0,3,0,98,NA,38.925663,-77.074184
17625438,119849176,Entire home/apt,U Street Corridor,0,0,4,1,90,NA,38.91927,-77.032834
17625778,57115,Entire home/apt,Kalorama,0,0,2,1,101,NA,38.915632,-77.046239
17625848,20124647,Entire home/apt,Catholic University-Brookland,1,0,2,1,75,NA,38.930756,-76.982923
17633348,5613992,Entire home/apt,Mount Pleasant,2,0,4,2,149,NA,38.934178,-77.042666
17634001,49560206,Entire home/apt,Capitol Hill,0,0,6,3,133,NA,38.896207,-76.990988
17635572,2131753,Entire home/apt,Capitol Hill,0,0,4,2,189,NA,38.880168,-77.007705
17635928,337864,Private room,Catholic University-Brookland,0,0,1,1,200,NA,38.939743,-77.019267
17636854,3138065,Entire home/apt,Ledroit Park,1,0,2,1,105,NA,38.914158,-77.011991
17637410,116372674,Private room,Petworth,0,0,2,1,65,NA,38.951401,-77.029388
17639543,50947248,Shared room,Foggy Bottom,0,0,2,1,50,NA,38.900346,-77.047322
17639637,21061875,Private room,Georgetown,0,0,2,1,148,NA,38.908591,-77.065297
17640339,10315194,Private room,Brightwood,0,0,2,1,90,NA,38.966752,-77.031173
17645085,4627,Entire home/apt,Catholic University-Brookland,0,0,4,1,120,NA,38.951916,-76.990255
17645390,25053597,Entire home/apt,Downtown,0,0,4,1,235,NA,38.905583,-77.032306
17647862,3906466,Private room,Petworth,0,0,1,1,55,NA,38.938085,-77.034376
17649505,102241963,Entire home/apt,Mount Pleasant,5,5,3,0,88,NA,38.928059,-77.042733
17650262,17219855,Entire home/apt,Shaw,0,0,9,3,267,NA,38.912335,-77.019572
17653273,10892135,Private room,Chevy Chase,0,0,2,1,65,NA,38.943592,-77.061257
17654672,30313055,Entire home/apt,Ledroit Park,0,0,14,6,1025,NA,38.915333,-77.018924
17655720,120146441,Entire home/apt,Dupont Circle,0,0,4,1,160,NA,38.91717,-77.038602
17657144,69666834,Private room,Stadium-Armory,0,0,2,1,60,NA,38.885875,-76.976922
17657537,49670365,Entire home/apt,Anacostia,0,0,4,2,60,NA,38.873029,-76.972405
17657537,49670365,Entire home/apt,Anacostia,7,4,4,2,75,NA,38.872941,-76.972481
17658451,4757047,Private room,Deanwood,0,0,2,1,55,NA,38.896468,-76.948788
17660732,65394223,Private room,Adams Morgan,1,0,2,1,113,NA,38.925644,-77.040362
17663026,50383,Entire home/apt,Catholic University-Brookland,0,0,4,2,200,NA,38.951635,-77.014674
